"Name";"alarmClass"
"vSAN health alarm 'All hosts have matching multicast settings'";"disabled"
"vSAN Health Alarm 'vSAN Hosts with new patch available'";"disabled"
"vSAN health alarm 'vSAN HCL health'";"disabled"
"vSAN health alarm 'CPU AES-NI is disabled on hosts'";"disabled"
"vSAN health alarm 'Resync operations throttling'";"disabled"
"vSAN health alarm 'Time is not synchronized across hosts and VC";"disabled"
"vSAN health alarm 'Limits health'";"disabled"
"Health status changed alarm";"Low"
"vSAN Health Alarm 'Data protection service version check'";"disabled"
"vSAN health service alarm for Overall Health Summary";"disabled"
"vSAN health alarm 'vSAN Build Recommendation Engine Health'";"disabled"
"vSAN health alarm 'Operation health'";"disabled"
"vSAN health alarm 'Disk capacity'";"disabled"
"vSAN health alarm 'Space efficiency configuration consistency'";"disabled"
"vSAN health alarm 'vCenter or hosts are not connected to Key Management Servers'";"disabled"
"vSAN health alarm 'Disk format version'";"disabled"
"vSAN health alarm 'Performance service status'";"disabled"
"vSAN Health Alarm 'RAID controller configuration'";"disabled"
"Virtual machine Fault Tolerance state changed";"disabled"
"vSAN health alarm 'Online health connectivity'";"disabled"
"vSAN health alarm 'vSAN cluster partition'";"disabled"
"vSAN Health Alarm 'Data protection archival target accessibility check'";"disabled"
"vSAN health alarm 'Space efficiency usage health'";"disabled"
"vSAN health alarm 'iSCSI target service'";"disabled"
"vSAN health alarm 'Hosts with connectivity issues'";"disabled"
"vSAN health alarm 'vSAN CLOMD liveness'";"disabled"
"vSAN health alarm for 'vSAN firmware recommendation'";"disabled"
"vSAN health alarm 'Network adapter is VMware certified for ESXi release'";"disabled"
"vSAN Health Alarm 'Physical network adapter speed consistency'";"disabled"
"Virtual Machine Fault Tolerance vLockStep interval Status Changed";"Low"
"Network connectivity lost";"High"
"vSAN health alarm 'Network adapter driver is VMware certified'";"disabled"
"vSAN health alarm 'Physical disk component limit health'";"disabled"
"vSAN health alarm 'Network health'";"disabled"
"vSAN health alarm 'SCSI controller is VMware certified'";"disabled"
"vSAN health alarm 'vSAN cluster configuration consistency'";"disabled"
"vSAN health alarm 'Data health'";"disabled"
"vSAN health alarm 'Stats master election'";"disabled"
"vSAN Health Alarm 'Controller with pass-through and RAID disks'";"disabled"
"vSAN health alarm 'vSAN HCL DB up-to-date'";"disabled"
"vSAN health alarm 'Verbose mode'";"disabled"
"Network uplink redundancy lost";"High"
"vSAN health alarm 'vSAN VM health'";"disabled"
"vSAN Health Alarm 'vSAN max component size'";"disabled"
"vSAN health alarm 'Network adapter is VMware certified'";"disabled"
"vSAN health alarm for vMotion 'MTU check (ping with large packet size)'";"disabled"
"vSAN health alarm 'Witness host not found'";"disabled"
"vSAN health alarm 'Hosts disconnected from VC'";"disabled"
"vSAN health alarm 'Network latency check'";"disabled"
"vSAN health alarm 'Controller is VMware certified for ESXi release'";"disabled"
"vSAN health alarm 'Invalid unicast agent'";"disabled"
"vSAN health alarm 'Controller disk group mode is VMware certified'";"disabled"
"Network uplink redundancy degraded";"Medium"
"vSAN health alarm 'Controller driver is VMware certified'";"disabled"
"vSAN health alarm 'Memory pools (heaps)'";"disabled"
"Host compliance check for hyperconverged cluster configuration";"disabled"
"vSAN health alarm 'Advanced vSAN configuration in sync'";"disabled"
"vSAN Health Alarm 'Coredump partition size check'";"disabled"
"vSAN health alarm 'Stats DB object'";"disabled"
"vSAN health alarms are suppressed";"disabled"
"vSAN health alarm 'Performance data collection'";"disabled"
"vSAN health alarm 'Invalid preferred fault domain on witness host'";"disabled"
"vSAN health alarm 'vSAN Health Service up-to-date'";"disabled"
"VMKernel NIC not configured correctly";"Medium"
"vSAN health alarm 'Congestion'";"disabled"
"vSAN health alarm 'Witness host fault domain misconfigured'";"disabled"
"vSAN health alarm 'Controller firmware is VMware certified'";"disabled"
"vSAN health alarm 'Witness host within vCenter cluster'";"disabled"
"vSAN health alarm 'Host component limit'";"disabled"
"vSAN hardware compatibility issues";"disabled"
"vSAN health alarm 'Service runtime status'";"disabled"
"vSAN health alarm 'MTU check (ping with large packet size)'";"disabled"
"vSAN Health Alarm 'vSAN DPD liveness'";"disabled"
"vSAN health alarm 'Unsupported host version'";"disabled"
"Unmanaged workload detected on SIOC-enabled datastore";"Low"
"vSAN Health Alarm 'Network adapter is VMware certified'";"disabled"
"vSAN Health Alarm 'Advanced vSAN configuration supported'";"disabled"
"vSAN health alarm 'Stats DB object conflicts'";"disabled"
"vSAN health alarm 'Physical disk health'";"disabled"
"vSAN health alarm 'Current cluster situation'";"disabled"
"vSAN health alarm 'ESXi vSAN Health service installation'";"disabled"
"vSAN Health Alarm 'vSAN datastore usage threshold check'";"disabled"
"vSAN health alarm 'Home object'";"disabled"
"vSAN health alarm 'Site Latency Health'";"disabled"
"vSAN online health alarm 'RAID controller configuration'";"disabled"
"Host IPMI System Event Log status";"Low"
"vSAN online health alarm 'Network adapter is VMware certified'";"disabled"
"vSAN online health alarm 'vCenter Server up to date'";"disabled"
"vSAN online health alarm 'Coredump partition size check'";"disabled"
"vSAN online health alarm 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver'";"disabled"
"vSAN online health alarm 'Physical network adapter speed consistency'";"disabled"
"vSAN online health alarm 'vSAN Hosts with new patch available'";"disabled"
"vSAN online health alarms";"disabled"
"vSAN online health alarm 'Controller utility is installed on host'";"disabled"
"vSAN online health alarm 'vSAN max component size'";"disabled"
"vSAN online health alarm 'Controller with pass-through and RAID disks'";"disabled"
"Host Baseboard Management Controller status";"Low"
"vSAN online health alarm 'vSAN configuration for LSI-3108 based controller'";"disabled"
"vSAN online health alarm 'Advanced vSAN configuration supported'";"disabled"
"vSAN online health alarm 'Disks usage on storage controller'";"disabled"
"SEAT Disk Exhaustion on NLDC01VS011";"disabled"
"Core and Inventory Disk Exhaustion on NLDC01VS011";"Medium"
"Root Disk Exhaustion on NLDC01VS011";"High"
"Boot Disk Exhaustion on NLDC01VS011";"High"
"Autodeploy Disk Exhaustion on NLDC01VS011";"disabled"
"Diagnostics Disk Exhaustion on NLDC01VS011";"High"
"Image Builder Disk Exhaustion on NLDC01VS011";"disabled"
"License user threshold monitoring";"Low"
"Log Disk Exhaustion on NLDC01VS011";"High"
"ESXi Dump Collector Disk Exhaustion on NLDC01VS011";"High"
"Update Manager Disk Exhaustion on NLDC01VS011";"High"
"Thin-provisioned volume capacity threshold exceeded";"Low"
"Datastore capability alarm";"Low"
"Host CPU usage";"Low"
"Storage DRS recommendation";"Medium"
"Storage DRS is not supported on a host";"Low"
"Datastore is in multiple datacenters";"Low"
"Datastore cluster is out of space";"Medium"
"Insufficient vSphere HA failover resources";"Medium"
"vSphere HA failover in progress";"Medium"
"Cannot find vSphere HA master agent";"High"
"vSphere HA host status";"Medium"
"vSphere HA virtual machine failover failed";"Medium"
"vSphere HA virtual machine monitoring action";"Medium"
"Host memory usage";"Medium"
"vSphere HA virtual machine monitoring error";"Medium"
"License capacity monitoring";"Low"
"The host license edition is not compatible with the vCenter Server license edition";"Low"
"vSphere Distributed Switch VLAN trunked status";"Medium"
"vSphere Distributed Switch MTU matched status";"Medium"
"vSphere Distributed Switch MTU supported status";"Medium"
"vSphere Distributed Switch teaming matched status";"Medium"
"Virtual machine Consolidation Needed status";"Low"
"Host virtual flash resource status";"disabled"
"Host virtual flash resource usage";"disabled"
"Virtual machine CPU usage";"disabled"
"Registration/unregistration of a VASA vendor provider on a vSAN host fails";"disabled"
"Expired vSAN license";"disabled"
"VM storage compliance alarm";"Low"
"Datastore compliance alarm";"Low"
"vSphere HA VM Component Protection could not power off a virtual machine";"Medium"
"Service Control Agent Health Alarm";"Medium"
"Identity Health Alarm";"Medium"
"vSphere Client Health Alarm";"Low"
"ESX Agent Manager Health Alarm";"High"
"Message Bus Config Health Alarm";"Low"
"Virtual machine memory usage";"Medium"
"Cis License Health Alarm";"Low"
"Appliance Management Health Alarm";"Medium"
"vCenter Server Health Alarm";"Medium"
"Data Service Health Alarm";"Medium"
"RBD Health Alarm";"Medium"
"vService Manager Health Alarm";"Medium"
"Performance Charts Service Health Alarm";"Low"
"Content Library Service Health Alarm";"Low"
"Datastore usage on disk";"Medium"
"VMware vSphere ESXi Dump Collector Health Alarm";"Medium"
"VMware vAPI Endpoint Service Health Alarm";"Medium"
"VMware vSphere Profile-Driven Storage Service Health Alarm";"Medium"
"PostgreSQL Service Health Alarm";"Medium"
"vSphere vCenter Host Certificate Management Mode";"Medium"
"ESXi Host Certificate Status";"High"
"Certificate Status";"High"
"VASA provider disconnected";"Low"
"License inventory monitoring";"Low"
"VASA Provider certificate expiration alarm";"Medium"
"Virtual Machine network adapter reservation status";"Medium"
"Errors occurred on the disk(s) of a vSAN host";"disabled"
"Refreshing CA certificates and CRLs for a VASA provider failed";"Medium"
"Object type storage alarm";"Medium"
"Registration/unregistration of third-party IO filter storage providers fails on a host";"Medium"
"vSphere APIs for IO Filtering (VAIO) Filter Management Operations";"Medium"
"Expired vCenter Server license";"Medium"
"Expired host license";"Medium"
"Expired vCenter Server time-limited license";"Medium"
"Timed out starting Secondary VM";"High"
"Expired host time-limited license";"Low"
"Expired vSAN time-limited license";"Low"
"Database Health Alarm";"High"
"Host IP Address Conflict Alarm";"High"
"VMware HTTP Reverse Proxy Service Health Alarm.";"Low"
"vSphere UI Health Alarm";"Low"
"vCenter Stats Monitor Service Health Alarm.";"Low"
"vCenter HA Service Health Alarm.";"Medium"
"PSC Service Health Alarm.";"Medium"
"Image Builder Service Health Alarm";"Low"
